,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k
,,,,,,,,,,4.171,1.458095881,3.1,7.42E-05,0.543996826,1.929026,0.543996826,0.002179
,,,,,,,,,,4.214,1.456948658,3.2,8.19E-05,0.545583557,1.927985,0.545583557,0.002176
,,,,,,,,,,4.257,1.455789855,3.3,9.34E-05,0.547170227,1.926948,0.547170227,0.002173
,,,,,,,,,,4.3,1.454619468,3.4,9.96E-05,0.548756775,1.925915,0.548756775,0.00217
,,,,,,,,,,4.343,1.45343749,3.5,1.07E-04,0.550343384,1.924885,0.550343384,0.002168
,,,,,,,,,,4.386,1.452243917,3.6,1.07E-04,0.551929871,1.923859,0.551929871,0.002167
,,,,,,,,,,4.428,1.451066903,3.7,1.05E-04,0.553516296,1.922837,0.553516296,0.002166
,,,,,,,,,,4.471,1.449850395,3.8,1.03E-04,0.555102722,1.921818,0.555102722,0.002166
,,,,,,,,,,4.514,1.448622277,3.9,1.03E-04,0.556689087,1.920802,0.556689087,0.002166
,,,,,,,,,,4.557,1.447382547,4,1.06E-04,0.558275391,1.91979,0.558275391,0.002166
,,,,,,,,,,4.6,1.4461312,4.1,1.22E-04,0.559861633,1.91878,0.559861633,0.002167
,,,,,,,,,,,,4.2,1.44E-04,0.561447815,1.917774,0.561447815,0.002168
,,,,,,,,,,,,4.3,1.78E-04,0.563033936,1.916771,0.563033936,0.00217
,,,,,,,,,,,,4.4,2.25E-04,0.564619995,1.91577,0.564619995,0.002172
,,,,,,,,,,,,4.5,2.98E-04,0.566205994,1.914773,0.566205994,0.002175
,,,,,,,,,,,,4.6,7.44E-04,0.567791931,1.913778,0.567791931,0.002178
,,,,,,,,,,,,,,0.569377808,1.912786,0.569377808,0.002181
,,,,,,,,,,,,,,0.570963684,1.911796,0.570963684,0.002185
,,,,,,,,,,,,,,0.572549438,1.910809,0.572549438,0.002189
,,,,,,,,,,,,,,0.574135193,1.909825,0.574135193,0.002193
,,,,,,,,,,,,,,0.575720825,1.908843,0.575720825,0.002198
,,,,,,,,,,,,,,0.577306458,1.907863,0.577306458,0.002203
,,,,,,,,,,,,,,0.578891968,1.906885,0.578891968,0.002208
,,,,,,,,,,,,,,0.580477417,1.90591,0.580477417,0.002214
