nb1,nb2,si1,si2
2.242412,,1.542836,
2.242109,,1.542779,
2.241809,,1.542723,
2.241511,,1.542667,
2.241216,,1.542611,
2.240923,,1.542555,
2.240632,,1.542501,
2.240343,,1.542446,
2.240056,,1.542392,
2.239772,,1.542338,
2.239489,,1.542285,
2.239209,,1.542232,
2.23893,,1.542179,
2.238654,,1.542127,
2.23838,,1.542075,
2.238108,,1.542024,
2.237838,,1.541973,
2.237569,,1.541922,
2.237303,,1.541872,
2.237039,,1.541822,
2.236776,,1.541772,
2.236516,,1.541723,
2.236257,,1.541674,
2.236,,1.541626,
2.235745,,1.541578,
2.235492,,1.54153,
2.23524,,1.541482,
2.234991,,1.541435,
2.234743,,1.541388,
2.234497,,1.541342,
2.234252,,1.541295,
2.23401,,1.54125,
2.233769,,1.541204,
2.23353,,1.541159,
2.233292,,1.541114,
2.233056,,1.541069,
2.232822,,1.541025,
2.232589,,1.540981,
2.232358,,1.540937,
2.232128,,1.540894,
2.2319,,1.540851,
2.231674,,1.540808,
2.231449,,1.540765,
2.231226,,1.540723,
2.231004,,1.540681,
2.230784,,1.54064,
2.230565,,1.540598,
2.230348,,1.540557,
2.230132,,1.540516,
2.229918,,1.540476,
2.229705,,1.540435,
2.229493,,1.540395,
2.229283,,1.540356,
2.229074,,1.540316,
2.228867,,1.540277,
2.228661,,1.540238,
2.228456,,1.540199,
2.228253,,1.540161,
2.228051,,1.540123,
2.22785,,1.540085,
2.227651,,1.540047,
2.227453,,1.540009,
2.227256,,1.539972,
2.227061,,1.539935,
2.226866,,1.539899,
2.226673,,1.539862,
2.226482,,1.539826,
2.226291,,1.53979,
2.226102,,1.539754,
2.225914,,1.539718,
2.225727,,1.539683,
2.225541,,1.539648,
2.225357,,1.539613,
2.225173,,1.539578,
2.224991,,1.539544,
2.22481,,1.53951,
2.22463,,1.539475,
2.224452,,1.539442,
2.224274,,1.539408,
2.224097,,1.539375,
2.223922,,1.539341,
2.223748,,1.539308,
2.223574,,1.539276,
2.223402,,1.539243,
2.223231,,1.539211,
2.223061,,1.539179,
2.222892,,1.539147,
2.222724,,1.539115,
2.222557,,1.539083,
2.222391,,1.539052,
2.222226,,1.539021,
2.222062,,1.53899,
2.221899,,1.538959,
2.221737,,1.538928,
2.221576,,1.538898,
2.221416,,1.538867,
2.221257,,1.538837,
2.221099,,1.538808,
2.220942,,1.538778,
2.220786,,1.538748,
2.22063,,1.538719,
2.220476,,1.53869,
2.220323,,1.538661,
2.22017,,1.538632,
2.220019,,1.538603,
