,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k,OC_LENS_n,OC_LENS_k,OC_LENS_w,OC_LENS_wk,OC_HRI_LENS_n,OC_HRI_LENS_k,OC_HRI_LENS_w,OC_HRI_LENS_wk,SiN_INFO_n,SiN_INFO_k,SiN_INFO_w,SiN_INFO_wk,ITO_INFO_n,ITO_INFO_k,ITO_INFO_w,ITO_INFO_wk,SiN_LENS_SE,ITO_LENS_SE,ITO_LENS_k,ITO_LENS_wk,SiO2_LENS_SE,SiO2_Nanya_n,SiO2_Nanya_k,SiO2_Nanya_w,SiO2_Nanya_wk,Nb2O5_Nanya_n,Nb2O5_Nanya_k,Nb2O5_Nanya_w,Nb2O5_Nanya_wk,ITO_Nanya_n,ITO_Nanya_k,ITO_Nanya_w,ITO_Nanya_wk,OC_Nanya_n,OC_Nanya_k,OC_Nanya_w,OC_Nanya_wk,SiO2_NSNT_SE,Corning1737_NSNT_SE,ITO1_Nanya_n,ITO1_Nanya_k,ITO1_Nanya_w,ITO1_Nanya_wk,ITO_LT_Nanya_n,ITO_LT_Nanya_k,ITO_LT_Nanya_w,ITO_LT_Nanya_wk,sodalime_Nanya_n,sodalime_Nanya_k,sodalime_Nanya_w,Unnamed: 68,Unnamed: 69,Nanya_sodalime_n,Nanya_sodalime_k,Nanya_sodalime_w,Nanya_sodalime_wk
20,0.007601965,,,0.00912692,,,,373.928319,385.9680855,1.168,1.511580989,0.51,1.5e-07,0.432830566,2.02111,0.432830566,0.006179,1.6609,0.0,278.105,278.105,1.72062518,0.0,320.0,320.0,1.943,0.0,0.45,0.45,2.42961505,0.0,0.2834,0.2834,,,0.03864898,522.4489796,,1.505460045,0.019716768,350.0,350.0,2.447776025,0.023965003,350.0,350.0,2.007161576,0.07555648200000001,350.0,350.0,1.48306,0.006342405,406.2815,406.2815,,,2.193016299,0.043143368,320,320,2.4675302130000003,0.381409624,320,320,1.50669,0.0,1060.0,,,1.563879,0.0,277.695007,277.695007
21,0.006734774000000001,,,0.008564338000000001,,,,385.4079862,391.7080584,1.211,1.5110542269999998,0.52,1.58e-07,0.434419586,2.019313,0.434419586,0.005995,1.6596,0.0,279.706,279.706,1.71905698,0.0,321.0,321.0,1.939,0.0,0.46,0.46,2.42294624,0.0,0.28499,0.28499,,,0.038171429,528.5714286,,1.505557483,0.019400063,351.0,351.0,2.445151771,0.023904481,351.0,351.0,2.006764429,0.075839797,351.0,351.0,1.4827865,0.006327074,407.6124,407.6124,,,2.188817027,0.041733421,321,321,2.460006005,0.363058993,321,321,1.50091,0.0,1529.6,,,1.563331,0.0,279.28476,279.28476
22,0.005891088,,,0.008142446999999999,,,,398.0129938,396.9977331,1.254,1.510536226,0.53,1.7699999999999996e-07,0.436008545,2.0175400000000003,0.436008545,0.005819,1.6586,0.0,281.307,281.307,1.71753032,0.0,322.0,322.0,1.936,0.0,0.47,0.47,2.41568999,0.0,0.28658,0.28658,,,0.037693878,534.6938776000002,,1.505648759,0.019091707,352.0,352.0,2.442544146,0.023843431,352.0,352.0,2.006329366,0.076119288,352.0,352.0,1.4825158,0.006311779,408.9521,408.9521,,,2.184826216,0.040398173,322,322,2.45266886,0.345884426,322,322,1.49495,0.0,1970.1,,,1.562786,0.0,280.874542,280.874542
23,0.005258408000000001,,,0.007603364,,,,409.2673345,403.7505097,1.297,1.510024316,0.54,1.99e-07,0.437597565,2.015789,0.437597565,0.005651,1.6577,0.0,282.909,282.909,1.71604359,0.0,323.0,323.0,1.933,0.0,0.48,0.48,2.40795253,0.0,0.28818,0.28818,,,0.037216327,540.8163265,,1.505734095,0.018791423,353.0,353.0,2.439953031,0.02378188,353.0,353.0,2.005857438,0.07639491,353.0,353.0,1.4822476999999998,0.006296522,410.3006,410.3006,,,2.181028197,0.039132379,323,323,2.445536942,0.329792643,323,323,1.48921,0.0,2325.4,,,1.562246,0.0,282.464294,282.464294
24,0.004836686,,,0.007158079,,,,418.1581794,410.278112,1.34,1.5095162480000002,0.55,2.2e-07,0.439186523,2.014062,0.439186523,0.00549,1.6567,0.0,284.51,284.51,1.71459503,0.0,324.0,324.0,1.93,0.0,0.49,0.49,2.3998302,0.0,0.28977,0.28977,,,0.036738776,546.9387755,,1.505813704,0.018498943,354.0,354.0,2.437378307,0.023719855,354.0,354.0,2.005349667,0.07666661799999999,354.0,354.0,1.4819822,0.006281301,411.65802,411.65802,,,2.177408523,0.037931249,324,324,2.4386227380000003,0.314698237,324,324,,,,,,1.56171,0.0,284.054016,284.054016
25,0.004180690999999999,,,0.006665927,,,,432.3384962,417.5935209,1.383,1.5090101180000002,0.56,2.53e-07,0.4407754820000001,2.012356,0.4407754820000001,0.005336,1.6559,0.0,286.111,286.111,1.71318279,0.0,325.0,325.0,1.927,0.0,0.5,0.5,2.39140949,0.0,0.29136,0.29136,,,0.036261224,553.0612245,,1.5058877869999998,0.018214008,355.0,355.0,2.434819858,0.023657381,355.0,355.0,2.00480705,0.076934372,355.0,355.0,1.4817194,0.006266116,413.0245,413.0245,,,2.17395386,0.036790401,325,325,2.431934147,0.300523078,325,325,,,,,,1.561178,0.0,285.643738,285.643738
26,0.003759201,,,0.006103456,,,,446.1809501,425.6967617,1.425,1.508516073,0.57,3.05e-07,0.44236441,2.010671,0.44236441,0.005188,1.655,0.0,287.712,287.712,1.71180503,0.0,326.0,326.0,1.925,0.0,0.51,0.51,2.38276689,0.0,0.29295,0.29295,,,0.035783672999999995,559.1836735,,1.505956535,0.017936372,356.0,356.0,2.432277567,0.023594484,356.0,356.0,2.004230556,0.077198131,356.0,356.0,1.481459,0.00625097,414.4,414.4,,,2.170651899,0.03570582,326,326,2.425475374,0.287195725,326,326,,,,,,1.560651,0.0,287.233459,287.233459
27,0.003150369,,,0.005681676,,,,465.8755082,433.3497043,1.4680000000000002,1.508009224,0.58,3.56e-07,0.443953308,2.009007,0.443953308,0.005048,1.6538,0.0,289.313,289.313,1.71045988,0.0,327.0,327.0,1.923,0.0,0.52,0.52,2.37396931,0.0,0.29454,0.29454,,,0.035306122,565.3061223999998,,1.506020132,0.017665793,357.0,357.0,2.429751319,0.023531189,357.0,357.0,2.0036211280000003,0.077457861,357.0,357.0,1.4812014,0.006235858,415.78476,415.78476,,,2.167491259,0.034673823,327,327,2.419247674,0.274650868,327,327,,,,,,1.560128,0.0,288.8231810000001,288.82318100000003
28,0.002799194,,,0.005049043,,,,478.8175935,445.6168742,1.511,1.5075001330000002,0.59,4e-07,0.445542236,2.007362,0.445542236,0.004913,1.6517,0.0,290.914,290.914,1.70914554,0.0,328.0,328.0,1.921,0.0,0.53,0.53,2.3650748,0.0,0.29614,0.29614,,,0.034828571,571.4285714,,1.506078752,0.017402043,358.0,358.0,2.4272409980000003,0.023467519,358.0,358.0,2.002979687,0.077713525,358.0,358.0,1.4809463,0.006220785,417.17877,417.17877,,,2.16446142,0.033691022,328,328,2.413249958,0.2628288,328,328,,,,,,1.559609,0.0,290.412842,290.412842
29,0.002448277,,,0.004650795,,,,497.2739707,454.9578399,1.554,1.506987768,0.6,4.55e-07,0.447131104,2.005738,0.447131104,0.004784,1.6498,0.0,292.515,292.515,1.70786028,0.0,329.0,329.0,1.919,0.0,0.54,0.54,2.35613305,0.0,0.29773,0.29773,,,0.03435102,577.5510204,,1.506132561,0.017144898999999998,359.0,359.0,2.424746491,0.023403498,359.0,359.0,2.002307126,0.077965093,359.0,359.0,1.4806937,0.006205746999999999,418.58218,418.58218,,,2.1615526430000003,0.032754301,329,329,2.407479291,0.251674921,329,329,,,,,,1.559095,0.0,292.002502,292.002502
30,0.002050498,,,0.004276046,,,,516.6306911,465.3116095,1.597,1.50647123,0.61,5.22e-07,0.448719971,2.004132,0.448719971,0.004661,1.6478,0.0,294.117,294.117,1.70660246,0.0,330.0,330.0,1.917,0.0,0.55,0.55,2.34718664,0.0,0.29932,0.29932,,,0.033873469,583.6734694,,1.506181719,0.016894149,360.0,360.0,2.422267685,0.023339148,360.0,360.0,2.001604317,0.078212534,360.0,360.0,1.4804436,0.006190746,419.99506,419.99506,,,2.158755912,0.031860786,330,330,2.401931304,0.241139283,330,330,,,,,,1.558585,0.0,293.592163,293.59216299999997
31,0.0017465279999999998,,,0.003877892,,,,535.9873102,476.6782336,1.64,1.505949739,0.62,5.970000000000001e-07,0.4503087770000001,2.002544,0.4503087770000001,0.004543,1.6455,0.0,295.718,295.718,1.7053705,0.0,331.0,331.0,1.915,0.0,0.56,0.56,2.33827137,0.0,0.30091,0.30091,,,0.033395918,589.7959183999999,,1.506226378,0.016649587,361.0,361.0,2.419804468,0.023274491,361.0,361.0,2.000872107,0.07845582200000001,361.0,361.0,1.4801961,0.00617578,421.41754,421.41754,,,2.156062873,0.031007828,331,331,2.396600523,0.231176171,331,331,,,,,,1.558079,0.0,295.181824,295.181824
32,0.0015130360000000002,,,0.003386178,,,,557.9321944,493.3341776,1.683,1.5054226119999998,0.63,6.909999999999999e-07,0.451897614,2.0009740000000003,0.451897614,0.00443,1.6437,0.0,297.319,297.319,1.70416296,0.0,332.0,332.0,1.913,0.0,0.57,0.57,2.32941721,0.0,0.3025,0.3025,,,0.032918367000000004,595.9183673,,1.506266682,0.016411016,362.0,362.0,2.417356728,0.023209548,362.0,362.0,2.000111323,0.07869493,362.0,362.0,1.479951,0.006160852,422.84967,422.84967,,,2.153465782,0.030192974,332,332,2.391480646,0.221743718,332,332,,,,,,1.557579,0.0,296.771423,296.77142299999997
33,0.0013261470000000002,,,0.002988215,,,,573.4624435,508.7521181,1.726,1.504889251,0.64,7.75e-07,0.45348642,1.999421,0.45348642,0.004322,1.6419,0.0,298.92,298.92,1.70297849,0.0,333.0,333.0,1.912,0.0,0.58,0.58,2.32064883,0.0,0.30409,0.30409,,,0.032440816000000004,602.0408163,,1.506302772,0.016178245,363.0,363.0,2.414924355,0.023144341,363.0,363.0,1.999322769,0.078929835,363.0,363.0,1.4797086000000002,0.006145959,424.2915,424.2915,,,2.150957457,0.029413959,333,333,2.386564765,0.212803554,333,333,,,,,,1.557082,0.0,298.361023,298.361023
34,0.001139945,,,0.002730753,,,,603.6224465,519.6684438999998,1.769,1.504349128,0.65,8.37e-07,0.455075195,1.997886,0.455075195,0.004218,1.6404,0.0,300.521,300.521,1.70181583,0.0,334.0,334.0,1.91,0.0,0.59,0.59,2.31198686,0.0,0.30569,0.30569,,,0.031963265,608.1632653,,1.5063347809999998,0.01595109,364.0,364.0,2.4125072380000003,0.023078889,364.0,364.0,1.998507227,0.079160518,364.0,364.0,1.4794685,0.006131101999999999,425.74326,425.74326,,,2.148531235,0.028668681,334,334,2.38184554,0.204320491,334,334,,,,,,1.55659,0.0,299.950623,299.950623
