nm,n,k
941.24884,1.537651,0
942.800293,1.537628,0
944.351685,1.537605,0
945.902832,1.537582,0
947.453796,1.537559,0
949.004578,1.537537,0
950.555298,1.537514,0
952.105774,1.537492,0
953.656128,1.53747,0
955.206238,1.537448,0
956.756226,1.537426,0
958.30603,1.537404,0
959.855774,1.537382,0
961.405151,1.53736,0
962.954468,1.537339,0
964.503601,1.537318,0
966.052551,1.537296,0
967.601379,1.537275,0
969.150024,1.537254,0
970.698425,1.537233,0
972.246704,1.537212,0
973.794739,1.537192,0
975.342651,1.537171,0
976.890442,1.537151,0
978.437988,1.53713,0
979.985352,1.53711,0
981.532532,1.53709,0
983.07959,1.53707,0
984.626465,1.53705,0
986.173157,1.53703,0
987.719604,1.53701,0
989.26593,1.53699,0
990.812134,1.536971,0
992.358032,1.536951,0
993.903809,1.536932,0
995.449402,1.536913,0
996.994812,1.536894,0
998.540161,1.536875,0
