,n1,n2,k1,k2
855.667969,2.28284,2.222892,0,0
857.22821,2.282712,2.222724,0,0
858.788208,2.282585,2.222557,0,0
860.348145,2.282459,2.222391,0,0
861.907837,2.282333,2.222226,0,0
863.467468,2.282208,2.222062,0,0
865.026855,2.282084,2.221899,0,0
866.586121,2.281961,2.221737,0,0
868.145325,2.281839,2.221576,0,0
869.704285,2.281717,2.221416,0,0
871.263184,2.281596,2.221257,0,0
872.821777,2.281476,2.221099,0,0
874.380371,2.281356,2.220942,0,0
875.938782,2.281237,2.220786,0,0
877.496948,2.281119,2.22063,0,0
879.055054,2.281002,2.220476,0,0
880.612976,2.280885,2.220323,0,0
882.170715,2.280769,2.22017,0,0
883.728333,2.280654,2.220019,0,0
885.285828,2.280539,2.219868,0,0
886.84314,2.280425,2.219718,0,0
888.400269,2.280312,2.219569,0,0
889.957336,2.2802,2.219421,0,0
891.51416,2.280087,2.219274,0,0
893.070801,2.279976,2.219127,0,0
894.627319,2.279866,2.218982,0,0
896.183716,2.279756,2.218837,0,0
897.739929,2.279646,2.218693,0,0
899.296021,2.279537,2.21855,0,0
900.851868,2.279429,2.218408,0,0
902.407593,2.279322,2.218267,0,0
903.963196,2.279215,2.218126,0,0
905.518677,2.279109,2.217986,0,0
907.073914,2.279003,2.217848,0,0
908.629028,2.278898,2.217709,0,0
910.18396,2.278794,2.217572,0,0
911.73877,2.27869,2.217435,0,0
913.293335,2.278587,2.2173,0,0
914.847839,2.278484,2.217165,0,0
916.402161,2.278382,2.21703,0,0
917.956238,2.278281,2.216897,0,0
919.510254,2.27818,2.216764,0,0
921.064087,2.27808,2.216632,0,0
922.617798,2.27798,2.216501,0,0
924.171204,2.277881,2.21637,0,0
925.724609,2.277782,2.21624,0,0
927.27771,2.277684,2.216111,0,0
928.83075,2.277586,2.215983,0,0
930.383606,2.27749,2.215855,0,0
931.936218,2.277393,2.215728,0,0
933.48877,2.277297,2.215602,0,0
935.041138,2.277202,2.215477,0,0
936.593262,2.277107,2.215352,0,0
938.145325,2.277013,2.215227,0,0
939.697083,2.276919,2.215104,0,0
941.24884,2.276826,2.214981,0,0
942.800293,2.276733,2.214859,0,0
944.351685,2.276641,2.214738,0,0
945.902832,2.276549,2.214617,0,0
947.453796,2.276458,2.214497,0,0
949.004578,2.276367,2.214377,0,0
950.555298,2.276277,2.214258,0,0
952.105774,2.276187,2.21414,0,0
953.656128,2.276098,2.214022,0,0
955.206238,2.276009,2.213906,0,0
956.756226,2.27592,2.213789,0,0
958.30603,2.275833,2.213673,0,0
959.855774,2.275745,2.213558,0,0
961.405151,2.275658,2.213444,0,0
962.954468,2.275572,2.21333,0,0
964.503601,2.275486,2.213217,0,0
966.052551,2.2754,2.213104,0,0
967.601379,2.275315,2.212992,0,0
969.150024,2.275231,2.212881,0,0
970.698425,2.275146,2.21277,0,0
972.246704,2.275063,2.21266,0,0
973.794739,2.27498,2.21255,0,0
975.342651,2.274897,2.212441,0,0
976.890442,2.274814,2.212332,0,0
978.437988,2.274732,2.212224,0,0
979.985352,2.274651,2.212117,0,0
981.532532,2.27457,2.21201,0,0
983.07959,2.274489,2.211904,0,0
984.626465,2.274409,2.211798,0,0
986.173157,2.274329,2.211693,0,0
987.719604,2.27425,2.211588,0,0
989.26593,2.274171,2.211484,0,0
990.812134,2.274092,2.21138,0,0
992.358032,2.274014,2.211277,0,0
993.903809,2.273936,2.211175,0,0
995.449402,2.273859,2.211073,0,0
996.994812,2.273782,2.210971,0,0
998.540161,2.273705,2.21087,0,0
