nm,n,k
725.691956,1.518131,0.000341
727.263123,1.518077,0.000339
728.83429,1.518022,0.000337
730.405212,1.517968,0.000335
731.976135,1.517915,0.000334
733.546875,1.517861,0.000332
735.117493,1.517809,0.00033
736.687988,1.517756,0.000329
738.258423,1.517704,0.000327
739.828674,1.517652,0.000325
741.398804,1.5176,0.000323
742.968872,1.517549,0.000322
744.538696,1.517498,0.00032
746.108521,1.517447,0.000319
747.678162,1.517397,0.000317
749.247681,1.517347,0.000315
750.817139,1.517298,0.000314
752.386414,1.517248,0.000312
753.955566,1.517199,0.000311
755.524597,1.517151,0.000309
757.093506,1.517102,0.000308
758.662292,1.517054,0.000306
760.230957,1.517007,0.000305
761.7995,1.516959,0.000303
763.36792,1.516912,0.000302
764.936218,1.516865,0.0003
766.504395,1.516819,0.000299
768.072388,1.516772,0.000298
769.64032,1.516726,0.000296
771.20813,1.516681,0.000295
772.775757,1.516635,0.000293
774.343262,1.51659,0.000292
775.910645,1.516545,0.000291
777.477905,1.516501,0.000289
779.045044,1.516456,0.000288
780.612061,1.516412,0.000287
782.178894,1.516369,0.000285
783.745667,1.516325,0.000284
785.312256,1.516282,0.000283
786.878784,1.516239,0.000282
788.445068,1.516196,0.00028
790.011292,1.516154,0.000279
791.577393,1.516112,0.000278
793.143311,1.51607,0.000277
794.709106,1.516028,0.000275
796.27478,1.515987,0.000274
797.840393,1.515946,0.000273
799.405762,1.515905,0.000272
800.971069,1.515864,0.000271
802.536194,1.515824,0.000269
804.101196,1.515784,0.000268
805.666077,1.515744,0.000267
807.230835,1.515704,0.000266
808.79541,1.515665,0.000265
810.359863,1.515625,0.000264
811.924194,1.515586,0.000263
813.488403,1.515548,0.000261
815.052429,1.515509,0.00026
816.616333,1.515471,0.000259
818.180054,1.515433,0.000258
819.743774,1.515395,0.000257
821.307251,1.515357,0.000256
822.870605,1.51532,0.000255
824.433777,1.515283,0.000254
825.996887,1.515246,0.000253
827.559753,1.515209,0.000252
829.122559,1.515172,0.000251
830.685242,1.515136,0.00025
832.247742,1.5151,0.000249
833.810059,1.515064,0.000248
835.372253,1.515028,0.000247
836.934387,1.514993,0.000246
838.496277,1.514958,0.000245
840.058105,1.514922,0.000244
841.619751,1.514888,0.000243
843.181274,1.514853,0.000242
844.742554,1.514818,0.000241
846.303833,1.514784,0.00024
847.864868,1.51475,0.000239
849.425781,1.514716,0.000238
850.986633,1.514682,0.000237
852.54718,1.514649,0.000236
854.107727,1.514616,0.000236
855.667969,1.514582,0.000235
857.22821,1.514549,0.000234
858.788208,1.514517,0.000233
860.348145,1.514484,0.000232
861.907837,1.514452,0.000231
863.467468,1.514419,0.00023
865.026855,1.514387,0.000229
866.586121,1.514355,0.000229
868.145325,1.514324,0.000228
869.704285,1.514292,0.000227
871.263184,1.514261,0.000226
872.821777,1.51423,0.000225
874.380371,1.514199,0.000224
875.938782,1.514168,0.000224
877.496948,1.514137,0.000223
879.055054,1.514107,0.000222
880.612976,1.514076,0.000221
882.170715,1.514046,0.00022
883.728333,1.514016,0.00022
885.285828,1.513986,0.000219
886.84314,1.513957,0.000218
888.400269,1.513927,0.000217
889.957336,1.513898,0.000217
891.51416,1.513868,0.000216
893.070801,1.513839,0.000215
894.627319,1.51381,0.000214
896.183716,1.513782,0.000214
897.739929,1.513753,0.000213
899.296021,1.513725,0.000212
900.851868,1.513696,0.000211
902.407593,1.513668,0.000211
903.963196,1.51364,0.00021
905.518677,1.513612,0.000209
907.073914,1.513585,0.000209
908.629028,1.513557,0.000208
910.18396,1.51353,0.000207
911.73877,1.513502,0.000206
913.293335,1.513475,0.000206
914.847839,1.513448,0.000205
916.402161,1.513422,0.000204
917.956238,1.513395,0.000204
919.510254,1.513368,0.000203
921.064087,1.513342,0.000202
922.617798,1.513316,0.000202
924.171204,1.51329,0.000201
925.724609,1.513264,0.0002
927.27771,1.513238,0.0002
928.83075,1.513212,0.000199
930.383606,1.513186,0.000198
931.936218,1.513161,0.000198
933.48877,1.513136,0.000197
935.041138,1.51311,0.000197
936.593262,1.513085,0.000196
938.145325,1.51306,0.000195
939.697083,1.513035,0.000195
941.24884,1.513011,0.000194
942.800293,1.512986,0.000194
944.351685,1.512962,0.000193
945.902832,1.512937,0.000192
947.453796,1.512913,0.000192
949.004578,1.512889,0.000191
950.555298,1.512865,0.000191
952.105774,1.512841,0.00019
953.656128,1.512818,0.000189
955.206238,1.512794,0.000189
956.756226,1.512771,0.000188
958.30603,1.512747,0.000188
959.855774,1.512724,0.000187
961.405151,1.512701,0.000187
962.954468,1.512678,0.000186
964.503601,1.512655,0.000185
966.052551,1.512632,0.000185
967.601379,1.512609,0.000184
969.150024,1.512587,0.000184
970.698425,1.512564,0.000183
972.246704,1.512542,0.000183
973.794739,1.51252,0.000182
975.342651,1.512498,0.000182
976.890442,1.512476,0.000181
978.437988,1.512454,0.000181
979.985352,1.512432,0.00018
981.532532,1.51241,0.00018
983.07959,1.512389,0.000179
984.626465,1.512367,0.000179
986.173157,1.512346,0.000178
987.719604,1.512325,0.000178
989.26593,1.512303,0.000177
990.812134,1.512282,0.000177
992.358032,1.512261,0.000176
993.903809,1.51224,0.000176
995.449402,1.51222,0.000175
996.994812,1.512199,0.000175
998.540161,1.512178,0.000174
