n_top,n_bot,k_top,k_bot
1.984587,2.048815,0.001449,0.001527
1.983778,2.047961,0.001425,0.001502
1.982972,2.047112,0.001402,0.001478
1.98217,2.046266,0.001379,0.001454
1.98137,2.045424,0.001357,0.001431
1.980574,2.044585,0.001336,0.001408
1.979782,2.043749,0.001314,0.001385
1.978992,2.042917,0.001294,0.001364
1.978206,2.042088,0.001273,0.001342
1.977422,2.041261,0.001253,0.001321
1.976641,2.040439,0.001234,0.0013
1.975864,2.039619,0.001215,0.00128
1.975089,2.038802,0.001196,0.001261
1.974317,2.037988,0.001177,0.001241
1.973547,2.037177,0.001159,0.001222
1.972781,2.036369,0.001142,0.001204
1.972017,2.035563,0.001124,0.001185
1.971255,2.034761,0.001108,0.001168
1.970496,2.033961,0.001091,0.00115
1.96974,2.033163,0.001075,0.001133
1.968986,2.032368,0.001059,0.001116
1.968234,2.031576,0.001043,0.0011
1.967484,2.030786,0.001028,0.001083
1.966737,2.029998,0.001013,0.001068
1.965992,2.029213,0.000998,0.001052
1.96525,2.02843,0.000984,0.001037
1.964509,2.027649,0.000969,0.001022
1.963771,2.02687,0.000955,0.001007
1.963035,2.026094,0.000942,0.000993
1.9623,2.02532,0.000929,0.000979
1.961568,2.024548,0.000915,0.000965
1.960837,2.023778,0.000903,0.000952
1.960109,2.02301,0.00089,0.000938
1.959382,2.022243,0.000878,0.000925
1.958658,2.021479,0.000865,0.000913
1.957934,2.020717,0.000854,0.0009
1.957213,2.019957,0.000842,0.000888
1.956494,2.019198,0.00083,0.000876
1.955776,2.018441,0.000819,0.000864
1.955059,2.017686,0.000808,0.000852
1.954345,2.016932,0.000797,0.000841
1.953632,2.016181,0.000787,0.00083
1.95292,2.01543,0.000776,0.000819
1.95221,2.014682,0.000766,0.000808
1.951502,2.013934,0.000756,0.000797
1.950795,2.013189,0.000746,0.000787
1.950089,2.012445,0.000737,0.000777
1.949385,2.011702,0.000727,0.000767
1.948682,2.010961,0.000718,0.000757
1.94798,2.010221,0.000709,0.000747
1.94728,2.009482,0.0007,0.000738
1.946581,2.008745,0.000691,0.000729
1.945883,2.008009,0.000682,0.00072
1.945186,2.007275,0.000674,0.000711
1.944491,2.006541,0.000666,0.000702
1.943796,2.005809,0.000657,0.000693
1.943103,2.005078,0.000649,0.000685
1.942411,2.004349,0.000642,0.000676
1.94172,2.00362,0.000634,0.000668
1.94103,2.002892,0.000626,0.00066
1.940341,2.002166,0.000619,0.000652
1.939653,2.00144,0.000611,0.000645
1.938966,2.000715,0.000604,0.000637
1.93828,1.999992,0.000597,0.00063
1.937595,1.999269,0.00059,0.000622
1.93691,1.998548,0.000583,0.000615
1.936227,1.997827,0.000577,0.000608
1.935544,1.997107,0.00057,0.000601
1.934863,1.996388,0.000564,0.000594
1.934182,1.99567,0.000557,0.000588
1.933502,1.994953,0.000551,0.000581
1.932822,1.994237,0.000545,0.000575
1.932144,1.993521,0.000539,0.000568
1.931466,1.992806,0.000533,0.000562
1.930789,1.992092,0.000527,0.000556
1.930112,1.991378,0.000522,0.00055
1.929436,1.990665,0.000516,0.000544
1.928761,1.989953,0.00051,0.000538
1.928087,1.989242,0.000505,0.000533
1.927413,1.988531,0.0005,0.000527
1.926739,1.987821,0.000495,0.000522
1.926067,1.987111,0.000489,0.000516
1.925394,1.986402,0.000484,0.000511
1.924722,1.985693,0.000479,0.000506
1.924051,1.984985,0.000475,0.000501
1.92338,1.984278,0.00047,0.000496
1.92271,1.983571,0.000465,0.000491
1.92204,1.982864,0.00046,0.000486
1.921371,1.982158,0.000456,0.000481
1.920702,1.981453,0.000452,0.000476
1.920033,1.980748,0.000447,0.000472
1.919365,1.980043,0.000443,0.000467
1.918697,1.979338,0.000439,0.000463
1.91803,1.978634,0.000434,0.000458
1.917363,1.977931,0.00043,0.000454
1.916696,1.977227,0.000426,0.00045
1.916029,1.976524,0.000422,0.000446
1.915363,1.975821,0.000419,0.000441
1.914697,1.975119,0.000415,0.000437
1.914032,1.974417,0.000411,0.000434
1.913366,1.973715,0.000407,0.00043
1.912701,1.973013,0.000404,0.000426
1.912036,1.972312,0.0004,0.000422
1.911372,1.971611,0.000397,0.000418
1.910707,1.97091,0.000393,0.000415
1.910043,1.970209,0.00039,0.000411
1.909379,1.969508,0.000387,0.000408
1.908715,1.968808,0.000383,0.000404
1.908051,1.968107,0.00038,0.000401
1.907387,1.967407,0.000377,0.000398
1.906723,1.966707,0.000374,0.000394
1.90606,1.966007,0.000371,0.000391
1.905396,1.965307,0.000368,0.000388
