nm,n_Top,k_Top,n_Bottom,k_Bottom,n_Mid,k_Mid
739.331665,1.914847,0.001545,1.976334,0.001631,1.9455905,0.001588
743.754028,1.912855,0.001574,1.974231,0.001662,1.943543,0.001618
748.229614,1.910836,0.001605,1.9721,0.001694,1.941468,0.0016495
752.759399,1.90879,0.001636,1.969939,0.001727,1.9393645,0.0016815
757.344299,1.906715,0.001667,1.967749,0.001761,1.937232,0.001714
761.985474,1.904611,0.0017,1.965527,0.001795,1.935069,0.0017475
766.683838,1.902476,0.001734,1.963273,0.001831,1.9328745,0.0017825
771.440552,1.900311,0.001768,1.960985,0.001867,1.930648,0.0018175
776.256592,1.898113,0.001804,1.958664,0.001905,1.9283885,0.0018545
781.133179,1.895881,0.00184,1.956308,0.001943,1.9260945,0.0018915
786.071411,1.893616,0.001877,1.953915,0.001983,1.9237655,0.00193
791.07251,1.891315,0.001916,1.951485,0.002023,1.9214,0.0019695
796.137573,1.888977,0.001955,1.949017,0.002065,1.918997,0.00201
801.268005,1.886603,0.001996,1.946508,0.002108,1.9165555,0.002052
806.464966,1.884189,0.002037,1.943959,0.002152,1.914074,0.0020945
811.729736,1.881735,0.00208,1.941368,0.002197,1.9115515,0.0021385
817.063721,1.879241,0.002124,1.938732,0.002244,1.9089865,0.002184
822.468262,1.876703,0.00217,1.936052,0.002292,1.9063775,0.002231
827.944824,1.874122,0.002216,1.933326,0.002341,1.903724,0.0022785
833.494751,1.871495,0.002265,1.930551,0.002392,1.901023,0.0023285
839.119629,1.868822,0.002314,1.927727,0.002445,1.8982745,0.0023795
844.820923,1.866101,0.002365,1.924852,0.002498,1.8954765,0.0024315
850.600281,1.863329,0.002417,1.921924,0.002554,1.8926265,0.0024855
856.459167,1.860507,0.002471,1.918942,0.002611,1.8897245,0.002541
862.399292,1.857631,0.002527,1.915903,0.00267,1.886767,0.0025985
868.422485,1.8547,0.002584,1.912807,0.002731,1.8837535,0.0026575
874.530396,1.851713,0.002644,1.90965,0.002793,1.8806815,0.0027185
880.724792,1.848667,0.002705,1.906432,0.002858,1.8775495,0.0027815
887.007629,1.845561,0.002768,1.90315,0.002925,1.8743555,0.0028465
893.380676,1.842392,0.002833,1.899801,0.002993,1.8710965,0.002913
