,SCAN,FIT
505,8.31,8.380868882
506,8.3,8.365257735
507,8.3,8.349741946
508,8.29,8.334321676
509,8.26,8.318993036
510,8.26,8.303751442
511,8.25,8.288598776
512,8.23,8.273539339
513,8.23,8.258571432
514,8.2,8.243689962
515,8.18,8.228892268
516,8.18,8.214177685
517,8.16,8.199547605
518,8.15,8.185005714
519,8.13,8.170552336
520,8.13,8.156181962
521,8.12,8.141890412
522,8.12,8.127678406
523,8.11,8.113547257
524,8.08,8.099497379
525,8.07,8.085528676
526,8.05,8.071639214
527,8.04,8.057826335
528,8.04,8.044089916
529,8.03,8.030432035
530,8.02,8.016852522
531,8.01,8.003347341
532,8,7.989913336
533,7.99,7.976551731
534,7.96,7.963264301
535,7.95,7.950049251
536,7.94,7.93690314
537,7.93,7.923826173
538,7.92,7.91082253
539,7.91,7.897894334
540,7.9,7.885037982
541,7.88,7.872249137
542,7.87,7.859524136
543,7.85,7.846859722
544,7.83,7.834257659
545,7.81,7.821725437
546,7.81,7.809267623
547,7.81,7.796878441
548,7.8,7.784550575
549,7.78,7.772282176
550,7.77,7.760074796
551,7.75,7.747930045
552,7.74,7.735849589
553,7.74,7.723834644
554,7.72,7.711883254
555,7.7,7.699992157
556,7.68,7.688159747
557,7.67,7.676386822
558,7.67,7.664674013
559,7.66,7.653019828
560,7.65,7.64142202
561,7.64,7.629880011
562,7.62,7.618395656
563,7.6,7.606970613
564,7.59,7.595603871
565,7.58,7.584293324
566,7.57,7.573038036
567,7.56,7.561839194
568,7.56,7.550697914
569,7.56,7.539612497
570,7.55,7.528579633
571,7.54,7.517597229
572,7.52,7.506666709
573,7.51,7.495790047
574,7.49,7.484967555
575,7.48,7.474197812
576,7.48,7.463479558
577,7.47,7.452813137
578,7.46,7.442199554
579,7.46,7.431638812
580,7.44,7.421128351
581,7.43,7.410665318
582,7.42,7.400249552
583,7.41,7.389883895
584,7.4,7.379570958
585,7.38,7.369309818
586,7.38,7.359097635
587,7.36,7.348932138
588,7.34,7.338813569
589,7.33,7.328742859
590,7.31,7.318720445
591,7.31,7.30874563
592,7.3,7.298817571
593,7.29,7.288935958
594,7.28,7.279101175
595,7.27,7.269313588
596,7.27,7.259572638
597,7.26,7.249877033
598,7.24,7.240225618
599,7.24,7.23061852
600,7.22,7.221056542
601,7.21,7.211540328
602,7.21,7.202069622
603,7.18,7.192643836
604,7.19,7.183262388
605,7.2,7.173924599
606,7.18,7.16462974
607,7.18,7.155377144
608,7.16,7.146166445
609,7.14,7.136997372
610,7.13,7.12786988
611,7.12,7.118784698
612,7.11,7.109742712
613,7.11,7.100744373
614,7.1,7.091788633
615,7.09,7.082874124
616,7.09,7.073999829
617,7.08,7.065166014
618,7.08,7.056373242
619,7.08,7.047621865
620,7.07,7.038911293
621,7.06,7.03024067
622,7.05,7.021609233
623,7.04,7.013016745
624,7.03,7.004463164
625,7.02,6.995948462
626,7.01,6.987472743
627,7,6.979036176
628,7,6.970638904
629,7,6.96228063
630,6.99,6.953960699
631,6.98,6.945678451
632,6.97,6.937433368
633,6.95,6.929225124
634,6.95,6.921053411
635,6.93,6.912918112
636,6.93,6.904819534
637,6.93,6.896758027
638,6.91,6.888733694
639,6.9,6.880745523
640,6.88,6.87279219
641,6.89,6.864872506
642,6.88,6.856986619
643,6.87,6.849135531
644,6.86,6.841320231
645,6.83,6.833541012
646,6.82,6.825797141
647,6.81,6.818087806
648,6.81,6.810412306
649,6.8,6.802770364
650,6.8,6.795161812
651,6.79,6.787586491
652,6.77,6.780044369
653,6.77,6.772535506
654,6.76,6.765059966
655,6.75,6.757617635
656,6.74,6.750207995
657,6.73,6.742830473
658,6.71,6.735484543
659,6.7,6.728170121
660,6.69,6.720887359
661,6.68,6.713636407
662,6.67,6.706417106
663,6.68,6.699228692
664,6.67,6.692070333
665,6.65,6.684941286
666,6.64,6.677841558
667,6.61,6.670771583
668,6.61,6.66373179
669,6.62,6.656722444
670,6.6,6.649743384
671,6.61,6.642794386
672,6.59,6.635875221
673,6.59,6.628985528
674,6.6,6.622124823
675,6.59,6.615292622
676,6.58,6.60848848
677,6.56,6.601712205
678,6.55,6.594963693
679,6.54,6.588242838
680,6.53,6.581549621
681,6.52,6.574884207
682,6.51,6.568246782
683,6.51,6.561637509
684,6.51,6.555056021
685,6.51,6.548501402
686,6.51,6.541972711
687,6.5,6.535469122
688,6.48,6.528990914
689,6.47,6.522538982
690,6.46,6.516114225
691,6.46,6.509717295
692,6.47,6.503347549
693,6.45,6.497003926
694,6.45,6.49068537
695,6.43,6.484391056
696,6.42,6.478120925
697,6.41,6.471875074
698,6.4,6.46565359
699,6.4,6.459456525
700,6.39,6.453283849
