,SCAN,FIT
483,10.14,10.30764629
484,10.11,10.26710828
485,10.08,10.22686982
486,10.05,10.18692784
487,10,10.14727309
488,9.97,10.1078942
489,9.93,10.06879564
490,9.89,10.02998731
491,9.86,9.991459445
492,9.82,9.953196813
493,9.77,9.915198681
494,9.73,9.877468895
495,9.71,9.840010022
496,9.67,9.802822967
497,9.65,9.765902469
498,9.62,9.72924161
499,9.58,9.692833777
500,9.55,9.656674865
501,9.52,9.620770189
502,9.47,9.585124166
503,9.44,9.549728023
504,9.4,9.514572233
505,9.37,9.479659027
506,9.34,9.444992377
507,9.33,9.410568385
508,9.29,9.376381481
509,9.26,9.342430921
510,9.24,9.308717288
511,9.21,9.275237583
512,9.2,9.241987185
513,9.18,9.208962272
514,9.15,9.176159734
515,9.1,9.143577803
516,9.07,9.111215617
517,9.04,9.079072963
518,9.01,9.047150475
519,8.99,9.015447408
520,8.96,8.983960631
521,8.91,8.952686726
522,8.88,8.921621868
523,8.87,8.890762707
524,8.85,8.860108655
525,8.83,8.829659777
526,8.81,8.79941474
527,8.78,8.769371473
528,8.76,8.739527458
529,8.71,8.709879791
530,8.69,8.680425923
531,8.65,8.651163857
532,8.63,8.622092575
533,8.6,8.593214543
534,8.57,8.564532068
535,8.55,8.536039231
536,8.53,8.50772625
537,8.5,8.479589869
538,8.48,8.451633971
539,8.45,8.423861508
540,8.42,8.396272209
541,8.4,8.368864626
542,8.38,8.341632098
543,8.35,8.314565936
544,8.32,8.287664696
545,8.29,8.260935137
546,8.27,8.234382158
547,8.25,8.208003283
548,8.23,8.181794552
549,8.2,8.155751911
550,8.19,8.129871292
551,8.16,8.104149923
552,8.13,8.078587411
553,8.11,8.05318384
554,8.08,8.027940877
555,8.07,8.002860815
556,8.03,7.977942264
557,8,7.953178425
558,7.98,7.928563043
559,7.95,7.904095418
560,7.94,7.87977686
561,7.91,7.855608523
562,7.9,7.831591385
563,7.88,7.807725962
564,7.85,7.784009683
565,7.83,7.760438723
566,7.8,7.737010001
567,7.77,7.713721751
568,7.74,7.690572588
569,7.73,7.667563714
570,7.72,7.64469786
571,7.69,7.62197612
572,7.67,7.59939468
573,7.65,7.576948969
574,7.62,7.554636755
575,7.6,7.532458214
576,7.58,7.510413522
577,7.55,7.488502513
578,7.53,7.466724948
579,7.51,7.445079894
580,7.5,7.423564506
581,7.49,7.402175738
582,7.47,7.380913152
583,7.44,7.359779216
584,7.42,7.338776025
585,7.39,7.317901092
586,7.37,7.297149488
587,7.37,7.276517553
588,7.35,7.256006932
589,7.32,7.235620657
590,7.31,7.215359723
591,7.28,7.195220677
592,7.27,7.175199566
593,7.25,7.155295266
594,7.23,7.135510236
595,7.21,7.115846905
596,7.19,7.096303759
597,7.18,7.076876128
598,7.17,7.057559748
599,7.15,7.03835452
600,7.13,7.019262582
601,7.1,7.00028571
602,7.07,6.981423511
603,7.04,6.962674779
604,7.02,6.94403823
605,7.02,6.92551197
606,7.02,6.907093906
607,7,6.888782459
608,6.99,6.870578228
609,6.97,6.852482375
610,6.94,6.834495482
611,6.92,6.816615952
612,6.9,6.798841695
613,6.89,6.781171088
614,6.88,6.763604185
615,6.86,6.746141403
616,6.84,6.728782912
617,6.83,6.711527941
618,6.81,6.694375514
619,6.79,6.677324637
620,6.78,6.660374095
621,6.76,6.643522598
622,6.74,6.626769
623,6.73,6.610113125
624,6.71,6.593555189
625,6.7,6.577095385
626,6.7,6.560733563
627,6.67,6.544469366
628,6.66,6.528302363
629,6.64,6.512231331
630,6.62,6.49625445
631,6.61,6.480369929
632,6.59,6.464576741
633,6.59,6.448874797
634,6.57,6.433264054
635,6.56,6.417744628
636,6.54,6.402317017
637,6.51,6.386981765
638,6.49,6.371738874
639,6.47,6.356585829
640,6.46,6.341519407
641,6.44,6.326536688
642,6.42,6.311637767
643,6.4,6.296824665
644,6.38,6.282099376
645,6.38,6.267462597
646,6.36,6.252913134
647,6.35,6.238449648
648,6.35,6.224070889
649,6.32,6.209775926
650,6.31,6.195563918
651,6.29,6.181434046
652,6.27,6.167385659
653,6.26,6.153418227
654,6.25,6.139531231
655,6.24,6.125724271
656,6.22,6.111997201
657,6.2,6.098349906
658,6.18,6.084782183
659,6.17,6.071293157
660,6.17,6.057881605
661,6.15,6.044546314
662,6.13,6.031286648
663,6.1,6.018103103
664,6.08,6.004996304
665,6.06,5.991966742
666,6.06,5.979013593
667,6.05,5.966135291
668,6.05,5.953330265
669,6.04,5.940597413
670,6.03,5.927936838
671,6.01,5.915348846
672,5.99,5.902833714
673,5.98,5.890391018
674,5.96,5.878019692
675,5.96,5.865718641
676,5.94,5.853486876
677,5.93,5.841324064
678,5.93,5.829230099
679,5.92,5.817204878
680,5.91,5.805248365
681,5.88,5.793360642
682,5.86,5.781541812
683,5.85,5.769791943
684,5.83,5.758110274
685,5.82,5.746495181
686,5.82,5.734945005
687,5.81,5.723458233
688,5.81,5.712034727
689,5.81,5.700675125
690,5.79,5.689380074
691,5.76,5.678150069
692,5.75,5.666984814
693,5.74,5.655883754
694,5.73,5.644846338
695,5.72,5.63387191
696,5.71,5.62295946
697,5.68,5.612107902
698,5.68,5.601316157
699,5.67,5.590583563
700,5.66,5.579910489
