,xy-ITO ,trace spacing,bridge
58,8.99494062438927,8.768154397567345,7.588573197458029
59,9.736724927119274,9.517659004693542,8.433942291905296
60,10.264227812571344,10.061694838324724,9.132455296094449
61,10.562786458066531,10.386188042096549,9.667555890915759
62,10.609032618482438,10.46736763596069,10.005066699723825
63,10.404771382377731,10.304655222418631,10.121499275588237
64,9.981658110506816,9.927198068436088,10.026672998071652
65,9.372387449996697,9.36617090681828,9.742467597009519
66,8.585235319697873,8.629570601050487,9.27630187900218
67,7.659410813263601,7.753668543400814,8.649140902885305
68,6.6529268324998725,6.7928895085611565,7.899742092264398
69,5.58607747807496,5.765479295787824,7.03979878468001
70,4.522750132660374,4.731175574289493,6.113602336017848
71,3.5595655398470036,3.7826284922467064,5.20336079811885
72,2.7452604566590564,2.9670080912438017,4.35653376000154
73,2.1179142556738766,2.3218191731567575,3.614348986507336
74,1.7087072168416682,1.8792594811754757,3.019132385661888
75,1.5239911396781174,1.646714263072894,2.5842897149011708
76,1.575071027171525,1.6364087819234903,2.3258983019926593
77,1.868470064494522,1.8585487778664187,2.2708470350096777
78,2.3776712986254855,2.2929215270784113,2.4254910025308147
79,3.0439596427442215,2.8875180698320597,2.7631745362148474
80,3.823917622418377,3.6018594668871216,3.2498382958916854
81,4.68450340602219,4.4050442706152,3.8579569729977754
82,5.587683697566914,5.2615259590096475,4.557435167848505
83,6.501091618463606,6.140975091847369,5.321693851329839
84,7.366417487497403,6.987656092698172,6.1011208169988365
85,8.085776771030142,7.704232911836726,6.797056595860275
86,8.644153566586006,8.272285805436775,7.3756767765721545
87,9.069541006518184,8.717789305139458,7.853889590924407
88,9.369768433988625,9.049005830646074,8.239733814618006
89,9.52403168244639,9.245848841511256,8.513721867121426
90,9.50882755265715,9.283150890935508,8.644365707520356
91,9.32510994089338,9.158383220529839,8.618825392534095
92,8.991650998752,8.887108379919258,8.444806131729758
93,8.511375064171444,8.47195619172875,8.125105775069038
94,7.907189772075919,7.932651148732791,7.673495571618844
95,7.23198673844818,7.317236997907971,7.130529701576505
96,6.503565895599806,6.642496619975434,6.514363821407462
97,5.737371431013227,5.922559398458025,5.8398874442428585
98,4.968230158603037,5.189720581233671,5.138539971088158
99,4.238950823260206,4.48455050633371,4.451212367093023
100,3.5806215168584448,3.83717922457016,3.810356560558449
101,3.0027156512329882,3.2567366243571696,3.2279652156531613
102,2.5317551125939324,2.7692593156470586,2.7327923432421137
103,2.19566289409621,2.4034996225137095,2.357333373714141
104,2.005325935022731,2.171954576139753,2.1178885069252407
105,1.965015492190208,2.0810400846850374,2.024387223346925
106,2.07244855240274,2.1312481547789965,2.080312014949706
107,2.3181079198962227,2.316068103362552,2.28129021195978
108,2.6864484863585174,2.6230118374591416,2.6159810911771655
109,3.1565631371697886,3.03412721983453,3.0664452974560352
110,3.7059251074059496,3.529273739272945,3.611872923413724
111,4.309498306227163,4.085485852159282,4.227776277468662
112,4.931804656027238,4.6694556631769295,4.876244604008146
113,5.54989646981219,5.2587438916251745,5.531983472125419
114,6.155788527524885,5.845085802040984,6.188055984087484
115,6.7236548922402894,6.403186079167619,6.815541265780747
116,7.228645753011273,6.908074362935795,7.384471477010564
117,7.6576818095043215,7.345967763883402,7.879021583574889
118,7.999628086079742,7.704893676047235,8.285141813195846
119,8.245894600286965,7.975250060814686,8.591041066565712
120,8.391584808622474,8.151018219749776,8.788995093225555
121,8.434989784780807,8.22934578380607,8.875003597090533
122,8.376986017589113,8.209952891944875,8.847949379827606
123,8.222846854751996,8.096648415723669,8.710455348948544
124,7.984055978750735,7.899232861217692,8.47187036746969
125,7.677674581593355,7.633077303275614,8.14858908510141
126,7.316565179170962,7.310220615841359,7.755528691151617
127,6.908840110740097,6.938392160270348,7.30313650164104
128,6.46698004375296,6.5293216965837395,6.805439345506885
129,5.992808914069638,6.0848314938849954,6.2657292206697
130,5.4795332133840295,5.59832864118638,5.676400565823152
131,4.948121317780249,5.089295140663453,5.057940401133692
132,4.431522470770704,4.589129661924969,4.446364058905434
133,3.9589250489266687,4.126323066117362,3.8768516320681767
134,3.531634860244219,3.702571028638716,3.352211682116007
135,3.1516329215486207,3.319828248253154,2.8735613949677408
136,2.8463751756366293,3.0054981657242217,2.4759402814147884
137,2.6274221204009662,2.7717891443959255,2.1761626712008204
138,2.497374559297881,2.6217846841364914,1.9778036535656547
139,2.462550976595711,2.5626694038081386,1.8912060785732772
140,2.5229040235578886,2.5958624725376396,1.920922971879667
141,2.66814889849523,2.7129423005649866,2.0594324903162384
142,2.8850806635261113,2.901817987722984,2.2916797189856615
143,3.163609093341853,3.1529618925484706,2.604529661767903
144,3.4924824352859734,3.455804519788208,2.9842636809991747
145,3.864677115739722,3.803526212982375,3.4212215804361485
146,4.276660412713667,4.1925892728500935,3.9102425537016767
147,4.713811032781752,4.609100020738712,4.435000743393131
148,5.156231393536186,5.033912516806725,4.972371226820937
149,5.584035541020458,5.447598391610415,5.497965246299026
150,5.980318026632962,5.833364251066443,5.989810892117221
151,6.336039248174617,6.1818617144852155,6.434962965118054
152,6.652166252408566,6.493444856721371,6.833782630435148
153,6.924536263891628,6.76365203489917,7.180986365090486
154,7.146259219197779,6.985408847038588,7.467517041039154
155,7.313129100947606,7.15425658923675,7.687490973354418
156,7.423547562082665,7.268346105565787,7.838970603545298
157,7.474982286150571,7.325036876096479,7.9198387807144845
158,7.4666054636641,7.323237905454719,7.9271679782294475
159,7.403417480771917,7.267574231201908,7.865473572596252
160,7.282526941139614,7.155341950976407,7.733990639558459
161,7.109292478978646,6.991648730938796,7.537879955143864
162,6.901964984540775,6.794022073424949,7.296529494974361
163,6.652587045369983,6.5550848187840485,7.00413304515645
164,6.357050449220246,6.271122259574775,6.657189583220716
165,6.035046687908749,5.961218119604238,6.27769015283322
166,5.695122976444274,5.633854884447205,5.876679245418422
167,5.3433373649165175,5.295156826889235,5.462594451099736
