Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
65,0.292563601,43.63574559,4.999113662,3.692383944,0,1.025445864,0,37.45985934,2.119833686,0,0,7.067617921,0
66,0.297064579,44.21307927,4.972982382,3.339929879,0,1.076008265,0,37.73536355,2.283138862,0,0,6.379497792,0
67,0.301565558,46.54819292,5.483410082,2.929175106,0,1.000859372,0.033872691,36.08822621,2.080912261,0,0,5.835351361,0
68,0.306066536,47.94207929,5.896780317,2.547986013,0.175437505,1.062133761,0.033872691,35.39043378,1.575541808,0,0,5.375734833,0
69,0.310567515,47.69985831,7.314183695,2.330436962,0.300143474,1.307133887,0.033872691,34.40700372,1.438683163,0,0,5.168684094,0
70,0.315068493,48.43071393,6.541375651,2.222429018,0.408685903,1.256468964,0.033872691,34.84612412,1.353923693,0,0,4.90640603,0
71,0.319569472,47.9722837,5.332950182,2.152672823,0.544529537,1.204655558,0.033872691,36.11695363,1.256024274,0,0,5.386057609,0
72,0.32407045,47.0360596,4.157548154,2.038409619,0.578693958,0.804279676,0.040380564,38.47772984,0.872319905,0,0,5.99457868,0
73,0.328571429,37.17890999,3.879315223,2.296693848,0.661659061,1.123752931,0.21217842,46.1863106,1.028702809,0,0,7.432477113,0
74,0.333072407,28.41972876,3.255532562,2.692136097,0.629405666,1.443837567,0.512682257,53.62014801,0.892987446,0,0,8.533541631,0
75,0.337573386,23.57272176,3.856441279,2.950294495,0.582721839,1.755381796,0.677187954,56.89445787,0.780855637,0,0,8.929937367,0
76,0.342074364,22.20071175,5.183857763,3.411884397,0.446878205,1.927746308,0.677187954,57.07386967,0.741156521,0,0,8.336707424,0
77,0.346575342,21.57035358,6.859486469,3.683693682,0.434380138,2.325030859,0.63680739,55.84253603,1.009229801,0,0,7.638482045,0
78,0.351076321,29.79104224,7.803069085,3.679766107,0.236827864,1.997415626,0.465009534,48.98571076,0.852846897,0,0,6.188311881,0
79,0.355577299,37.63888679,8.429708674,3.431850297,0.209668589,1.432330864,0.183799016,42.63925386,0.720221224,0,0,5.314280692,0
80,0.360078278,42.32198117,9.358378572,3.386131823,0.167256913,0.978623383,0.027912788,38.32862943,0.942802936,0,0,4.488282978,0
81,0.364579256,47.27966603,10.22044978,3.123303383,0.167256913,0.49670822,0.027912788,33.7959933,1.023035064,0,0,3.865674525,0
82,0.369080235,51.49969799,11.08652864,3.044101418,0.145590559,0.266581276,0.034983741,29.34384041,1.321373391,0,0,3.257302575,0
83,0.373581213,54.51849133,12.26564732,3.139873426,0.084740225,0.354004849,0.055368911,24.73111083,2.129593079,0,0,2.721170029,0
84,0.378082192,57.83623601,13.76255775,3.518856836,0.019446926,0.526244257,0.094362941,19.1283717,3.112137236,0,0,2.00178634,0
85,0.38258317,61.0390531,14.75805049,3.902619174,0,0.565104871,0.131771193,13.99386419,3.833820299,0,0,1.721538697,0.054177989
86,0.387084149,64.34969466,15.3441466,4.183692996,0,0.555552453,0.181502197,9.220827298,4.528542377,0,0,1.428203745,0.207837672
87,0.391585127,67.35267839,15.39381794,4.552006681,0,0.388394846,0.201256644,5.455898391,5.248168094,0,0,1.172312823,0.235466195
88,0.396086106,69.57377243,15.4701703,4.841048206,0,0.247838863,0.180871474,2.75907759,5.65586697,0,0,0.796238502,0.475115666
89,0.400587084,70.94136903,15.40699978,4.935716994,0.007243699,0.075599455,0.135426638,1.19932034,6.021591299,0,0,0.457715011,0.81901775
90,0.405088063,70.76204052,16.08582728,5.026631884,0.036527479,0.036738841,0.089398917,0.394227438,6.228100302,0,0,0.201362076,1.139145258
91,0.409589041,70.16740169,16.41188956,5.256483618,0.059861532,0,0.039667913,0.163107732,6.55672089,0,0,0.075328117,1.269538947
92,0.41409002,70.37425077,16.26948722,5.229354824,0.059861532,0.01912141,0.012842513,0.109694734,6.409463915,0,0,0.03408758,1.481835503
93,0.418590998,71.60116101,15.27252957,4.982901487,0.059861532,0.01912141,0.019068386,0.090558407,6.319437538,0,0,0.03408758,1.601273085
94,0.423091977,72.49498703,14.91106463,4.814972437,0.052617832,0.01912141,0.012363253,0.065209758,5.98422202,0,0,0.03408758,1.611354042
95,0.427592955,73.07379658,14.39160092,4.775956623,0.038415785,0.078381224,0.012363253,0.039783195,5.925431626,0,0,0.014133357,1.650137435
96,0.432093933,73.42121352,14.37126247,4.808091062,0.022236346,0.153347165,0.012363253,0.019369362,5.649759897,0,0,0.019500865,1.522856057
97,0.436594912,73.47493392,14.31408148,4.750133634,0.022236346,0.203236791,0.012363253,0.018121189,5.758142707,0,0,0.019500865,1.427249819
98,0.44109589,72.70307959,15.05965152,4.724333091,0.022236346,0.250914879,0.006137379,0.023428984,5.768042703,0,0,0.019500865,1.422674638
99,0.445596869,72.37301073,15.1704485,4.596004048,0.028068752,0.312026743,0.010340399,0.033633963,5.940975267,0,0,0.019500865,1.51599073
100,0.450097847,72.55959268,15.14601037,4.394690659,0.047059994,0.312269618,0.035510699,0.032004957,5.821763185,0,0,0.050457694,1.600640146
101,0.454598826,72.8488367,14.94195454,4.187732619,0.08257213,0.285203132,0.057123502,0.048002275,5.829000221,0,0,0.053108064,1.666466815
102,0.459099804,72.43211045,15.05247358,4.353631593,0.128141391,0.216192096,0.068665036,0.047868608,5.828542363,0,0,0.064937128,1.807437762
103,0.463600783,72.53226549,14.66106242,4.720300371,0.141622369,0.168514008,0.068665036,0.042560813,5.925599958,0,0,0.064937128,1.674472405
104,0.468101761,72.67705365,14.15425751,5.243122274,0.155812668,0.142368414,0.064241085,0.032355834,6.068057916,0,0,0.064937128,1.397793521
105,0.47260274,73.60643926,13.3141651,5.411649382,0.121739694,0.129410063,0.044321125,0.027387701,6.172920901,0,0,0.033980298,1.137986476
106,0.477103718,74.24071996,12.612133,5.38608411,0.097127717,0.128805021,0.033378222,0.016655466,6.184241895,0,0,0.011829064,1.289025552
107,0.481604697,75.1460864,12.16575208,5.064249074,0.068880444,0.174179906,0.042310375,0.015367862,5.987400591,0,0,0.015737805,1.320035459
108,0.486105675,75.34739844,12.64025084,4.717476573,0.07457456,0.190922935,0.059308346,0.015367862,5.799823682,0,0,0.056387819,1.098488944
109,0.490606654,76.19463585,12.60793506,4.230529122,0.071183397,0.199522931,0.063220705,0.015367862,5.46150335,0,0,0.106756166,1.049345555
110,0.495107632,76.56237112,12.69400534,4.042546276,0.076820206,0.182509793,0.057970366,0.015367862,5.172583632,0,0,0.157969107,1.037856303
